epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1236,1.05369,2.15299,0.02151,0.85634,0.90583,0.949,0.68951,1.09593,0.64716,0.03585,0.000654762,0.000654762,0.000654762
2,31.1429,1.26263,0.76635,0.02683,0.68298,0.78475,0.80821,0.35631,2.0666,1.13222,0.0804,0.00130835,0.00130835,0.00130835
3,46.3634,1.24379,0.67518,0.02531,0.95408,0.89238,0.96508,0.63414,1.23337,0.56181,0.03961,0.00194873,0.00194873,0.00194873
4,61.4971,1.30405,0.62143,0.0279,0.91133,0.88789,0.9498,0.6347,1.3214,0.65624,0.04066,0.0019406,0.0019406,0.0019406
5,76.676,1.25859,0.56753,0.02636,0.9499,0.93531,0.97637,0.64501,1.25208,0.50674,0.03956,0.0019208,0.0019208,0.0019208
6,91.823,1.22007,0.53817,0.02446,0.95609,0.92825,0.97483,0.71006,1.0469,0.50388,0.03071,0.001901,0.001901,0.001901
7,107.109,1.18882,0.52825,0.02391,0.97484,0.94619,0.98562,0.72839,1.03759,0.38271,0.03172,0.0018812,0.0018812,0.0018812
8,122.602,1.18265,0.54509,0.02324,0.99038,0.92314,0.98113,0.69398,1.10662,0.38251,0.03541,0.0018614,0.0018614,0.0018614
9,137.907,1.15686,0.50351,0.02374,0.9582,0.96861,0.98836,0.70451,1.14103,0.38444,0.03438,0.0018416,0.0018416,0.0018416
10,153.131,1.14254,0.47989,0.02287,0.99064,0.949,0.99018,0.72953,0.96106,0.31195,0.02564,0.0018218,0.0018218,0.0018218
11,168.585,1.1612,0.53011,0.02338,0.97684,0.94582,0.98658,0.7607,0.89846,0.35398,0.02592,0.001802,0.001802,0.001802
12,184.183,1.0981,0.47586,0.02207,0.9807,0.9417,0.9897,0.77664,0.87436,0.30809,0.02611,0.0017822,0.0017822,0.0017822
13,199.888,1.10778,0.49144,0.02163,0.98562,0.97309,0.99195,0.77778,0.89161,0.27991,0.02679,0.0017624,0.0017624,0.0017624
14,215.561,1.06795,0.45623,0.02061,0.95847,0.98206,0.99256,0.81524,0.77615,0.26902,0.02214,0.0017426,0.0017426,0.0017426
15,231.203,1.05705,0.4358,0.02081,0.97167,0.93274,0.98999,0.79982,0.79898,0.29937,0.02166,0.0017228,0.0017228,0.0017228
16,246.603,1.05653,0.42417,0.02064,0.96465,0.98655,0.99282,0.76091,0.94258,0.27494,0.02765,0.001703,0.001703,0.001703
17,261.963,1.01381,0.40494,0.01979,0.97208,0.96861,0.99043,0.83735,0.68269,0.25845,0.01915,0.0016832,0.0016832,0.0016832
18,277.362,0.99596,0.40422,0.01911,0.96397,0.95976,0.98842,0.80563,0.7941,0.27032,0.02269,0.0016634,0.0016634,0.0016634
19,292.704,0.95858,0.37038,0.01812,0.96082,0.95516,0.98826,0.79002,0.85396,0.32059,0.0258,0.0016436,0.0016436,0.0016436
20,308.562,0.98288,0.37442,0.01942,0.95937,0.95516,0.98465,0.73008,1.01968,0.36712,0.03003,0.0016238,0.0016238,0.0016238
21,324.253,0.98792,0.39075,0.019,0.9459,0.99103,0.99084,0.8327,0.69082,0.25644,0.01796,0.001604,0.001604,0.001604
22,339.84,0.96249,0.38329,0.01871,0.94625,0.97758,0.98984,0.79684,0.8018,0.30678,0.02316,0.0015842,0.0015842,0.0015842
23,355.227,0.9765,0.39214,0.01872,0.9681,0.95267,0.9884,0.79351,0.86381,0.30881,0.02645,0.0015644,0.0015644,0.0015644
24,370.707,0.93033,0.35859,0.0178,0.96005,0.96984,0.99021,0.77973,0.89575,0.30435,0.02676,0.0015446,0.0015446,0.0015446
25,386.227,0.93538,0.35427,0.018,0.97577,0.99103,0.99324,0.84636,0.69039,0.24013,0.01888,0.0015248,0.0015248,0.0015248
26,401.654,0.94099,0.3644,0.01822,0.98184,0.96962,0.99147,0.845,0.69272,0.24417,0.01968,0.001505,0.001505,0.001505
27,417.233,0.88435,0.34885,0.01679,0.97375,0.99807,0.9934,0.81188,0.76857,0.24088,0.02269,0.0014852,0.0014852,0.0014852
28,432.895,0.86934,0.32953,0.01695,0.99328,0.99103,0.99464,0.85406,0.66234,0.19989,0.01801,0.0014654,0.0014654,0.0014654
29,448.656,0.88536,0.33122,0.01663,0.98991,0.97758,0.99383,0.83807,0.71245,0.23885,0.0207,0.0014456,0.0014456,0.0014456
30,464.131,0.91055,0.35298,0.01674,0.99094,0.98054,0.99349,0.8732,0.58941,0.19548,0.01541,0.0014258,0.0014258,0.0014258
31,479.658,0.88682,0.36013,0.01673,0.98947,0.98655,0.99414,0.86165,0.64327,0.19217,0.0179,0.001406,0.001406,0.001406
32,495.02,0.85747,0.33068,0.01645,0.98705,0.97758,0.99373,0.88055,0.56606,0.1853,0.01479,0.0013862,0.0013862,0.0013862
33,510.459,0.85444,0.31441,0.01602,0.99087,0.97385,0.99332,0.88661,0.54646,0.17869,0.01435,0.0013664,0.0013664,0.0013664
34,525.784,0.82785,0.32417,0.01525,0.97764,0.98019,0.993,0.84035,0.68207,0.24281,0.01933,0.0013466,0.0013466,0.0013466
35,541.362,0.84152,0.31864,0.01569,0.97723,1,0.99451,0.88487,0.5666,0.16959,0.01481,0.0013268,0.0013268,0.0013268
36,557.193,0.83398,0.31305,0.01474,0.95656,0.98745,0.99199,0.87701,0.53277,0.19568,0.01409,0.001307,0.001307,0.001307
37,572.653,0.83876,0.32659,0.0157,0.98073,0.99103,0.99372,0.85335,0.64355,0.20526,0.0179,0.0012872,0.0012872,0.0012872
38,588.186,0.80815,0.31438,0.01498,0.9859,0.97758,0.99278,0.8738,0.57484,0.21793,0.01514,0.0012674,0.0012674,0.0012674
39,603.561,0.79699,0.32564,0.01454,0.97349,0.98791,0.9933,0.88909,0.55062,0.18896,0.01476,0.0012476,0.0012476,0.0012476
40,619.151,0.79459,0.30555,0.01456,0.98647,0.98078,0.99371,0.8627,0.64631,0.21135,0.01796,0.0012278,0.0012278,0.0012278
41,634.632,0.82053,0.31594,0.01523,0.98226,0.99341,0.99391,0.88216,0.52605,0.18498,0.01405,0.001208,0.001208,0.001208
42,650.137,0.78528,0.29844,0.01432,0.96939,0.99397,0.9926,0.87511,0.60212,0.2111,0.0168,0.0011882,0.0011882,0.0011882
43,666.15,0.78547,0.3122,0.01367,0.98861,0.97309,0.99321,0.87143,0.62304,0.20037,0.01727,0.0011684,0.0011684,0.0011684
44,681.929,0.80893,0.3101,0.01527,0.99361,0.98655,0.99432,0.82467,0.77292,0.23882,0.02475,0.0011486,0.0011486,0.0011486
45,697.61,0.79364,0.30991,0.01491,0.99404,0.98206,0.99416,0.86172,0.64072,0.19837,0.01733,0.0011288,0.0011288,0.0011288
46,713.402,0.75148,0.28485,0.0135,0.99089,0.99552,0.99442,0.87774,0.59286,0.18389,0.01624,0.001109,0.001109,0.001109
47,729.147,0.73967,0.28992,0.01363,0.98042,0.98206,0.99263,0.87781,0.59665,0.20104,0.01654,0.0010892,0.0010892,0.0010892
48,763.85,0.76539,0.29554,0.01411,0.99009,0.99552,0.99418,0.88367,0.58145,0.18844,0.01611,0.0010694,0.0010694,0.0010694
49,805.768,0.76573,0.30202,0.01368,0.98627,0.99552,0.99437,0.90451,0.49314,0.17372,0.01281,0.0010496,0.0010496,0.0010496
50,846.115,0.75205,0.27971,0.01389,0.985,0.98655,0.99395,0.88257,0.60853,0.18615,0.0166,0.0010298,0.0010298,0.0010298
51,889.527,0.74495,0.28034,0.01358,0.9866,0.99053,0.9938,0.88318,0.58541,0.18669,0.01698,0.00101,0.00101,0.00101
52,938.872,0.7314,0.28096,0.01356,0.98222,0.9907,0.99414,0.87471,0.60533,0.18655,0.01695,0.0009902,0.0009902,0.0009902
53,985.459,0.71413,0.27782,0.0128,0.9955,0.99099,0.99441,0.90746,0.48044,0.17036,0.01216,0.0009704,0.0009704,0.0009704
54,1026.1,0.69808,0.26832,0.01245,0.99525,0.99103,0.99446,0.89589,0.52588,0.17626,0.0141,0.0009506,0.0009506,0.0009506
55,1068.21,0.71159,0.28339,0.01308,0.99547,0.98555,0.99455,0.89874,0.50385,0.16189,0.0132,0.0009308,0.0009308,0.0009308
56,1085.42,0.72717,0.27739,0.01289,0.98834,0.97758,0.99352,0.89841,0.50099,0.18267,0.01301,0.000911,0.000911,0.000911
57,1100.25,0.68939,0.26862,0.0128,0.98849,0.97758,0.99419,0.90114,0.50746,0.17895,0.01313,0.0008912,0.0008912,0.0008912
58,1115.25,0.67913,0.2619,0.01196,0.99338,0.99103,0.99423,0.91421,0.4619,0.14935,0.01155,0.0008714,0.0008714,0.0008714
59,1130.43,0.68092,0.26543,0.01208,0.99541,0.9725,0.99396,0.90422,0.49728,0.17206,0.01263,0.0008516,0.0008516,0.0008516
60,1145.76,0.68079,0.25936,0.01227,0.98202,0.9796,0.99382,0.91363,0.47223,0.17522,0.01199,0.0008318,0.0008318,0.0008318
61,1161.24,0.66859,0.2735,0.01195,0.98173,0.99552,0.99323,0.89908,0.48938,0.1788,0.01279,0.000812,0.000812,0.000812
62,1176.64,0.67947,0.25768,0.01242,0.97807,0.99992,0.99348,0.91245,0.48317,0.15978,0.01248,0.0007922,0.0007922,0.0007922
63,1192,0.683,0.26702,0.01217,0.96525,0.9964,0.99335,0.90282,0.4903,0.17348,0.01305,0.0007724,0.0007724,0.0007724
64,1207.29,0.66529,0.26363,0.01234,0.99483,0.99552,0.99428,0.89273,0.53985,0.15927,0.01454,0.0007526,0.0007526,0.0007526
65,1222.69,0.66796,0.25647,0.01195,0.99106,0.99379,0.99441,0.91013,0.48389,0.15877,0.01255,0.0007328,0.0007328,0.0007328
